thoi_gian,doi_nha,ti_so,doi_khach
FT,Feyenoord,1 - 0,AC Milan
FT,Monaco,0 - 1,Benfica
FT,Celtic,1 - 2,Bayern Munich
FT,Club Brugge KV,2 - 1,Atalanta
FT,Sporting CP,0 - 3,Dortmund
FT,Manchester City,2 - 3,Real Madrid
FT,Juventus,2 - 1,PSV
FT,Brest,0 - 3,PSG
FT,Stuttgart,1 - 4,PSG
FT,Lille,6 - 1,Feyenoord
FT,Young Boys,0 - 1,Crvena zvezda
FT,D. Zagreb,2 - 1,AC Milan
FT,Girona,1 - 2,Arsenal
FT,Bayer Leverkusen,2 - 0,Sparta Prague
FT,Salzburg,1 - 4,Atl. Madrid
FT,Sturm Graz,1 - 0,RB Leipzig
FT,PSV,3 - 2,Liverpool
FT,Brest,0 - 3,Real Madrid
FT,Barcelona,2 - 2,Atalanta
FT,Dortmund,3 - 1,Shakhtar Donetsk
FT,Sporting CP,1 - 1,Bologna
FT,Bayern Munich,3 - 1,Slovan Bratislava
FT,Inter,3 - 0,Monaco
FT,Manchester City,3 - 1,Club Brugge KV
FT,Aston Villa,4 - 2,Celtic
FT,Juventus,0 - 2,Benfica
FT,AC Milan,1 - 0,Girona
FT,Celtic,1 - 0,Young Boys
FT,Arsenal,3 - 0,D. Zagreb
FT,Real Madrid,5 - 1,Salzburg
FT,Feyenoord,3 - 0,Bayern Munich
FT,Sparta Prague,0 - 1,Inter
FT,PSG,4 - 2,Manchester City
FT,Shakhtar Donetsk,2 - 0,Brest
FT,RB Leipzig,2 - 1,Sporting CP
FT,Liverpool,2 - 1,Lille
FT,Bologna,2 - 1,Dortmund
FT,Benfica,4 - 5,Barcelona
FT,Slovan Bratislava (Svk) *,3 - 2,Midtjylland (Den)
FT,Crvena zvezda (Srb) *,2 - 0,Bodo/Glimt (Nor)
FT,Slavia Prague (Cze),2 - 1,Lille (Fra) *
FT,Qarabag (Aze),0 - 2,D. Zagreb (Cro) *
FT,Galatasaray (Tur),0 - 1,Young Boys (Sui) *
FT,Sparta Prague (Cze) *,2 - 0,Malmo FF (Swe)
FT,Salzburg (Aut) *,1 - 1,Dyn. Kyiv (Ukr)
FT,Malmo FF (Swe),0 - 2,Sparta Prague (Cze)
FT,Dyn. Kyiv (Ukr),0 - 2,Salzburg (Aut)
FT,Midtjylland (Den),1 - 1,Slovan Bratislava (Svk)
FT,Young Boys (Sui),3 - 2,Galatasaray (Tur)
FT,D. Zagreb (Cro),3 - 0,Qarabag (Aze)
FT,Lille (Fra),2 - 0,Slavia Prague (Cze)
FT,Bodo/Glimt (Nor),2 - 1,Crvena zvezda (Srb)
FT,Rangers (Sco),0 - 2,Dyn. Kyiv (Ukr) *
FT,FCSB (Rou),2 - 3,Sparta Prague (Cze) *
FT,Royale Union SG (Bel),0 - 1,Slavia Prague (Cze) *
AET,Ludogorets (Bul),2 - 7,Qarabag (Aze) *
FT,Ferencvaros (Hun),1 - 1,Midtjylland (Den) *
AET,PAOK (Gre),3 - 4,Malmo FF (Swe) *
FT,Bodo/Glimt (Nor) *,4 - 1,Jagiellonia (Pol)
FT,APOEL (Cyp),0 - 0,Slovan Bratislava (Svk) *
AET,Fenerbahce (Tur),1 - 1,Lille (Fra) *
FT,Twente (Ned),3 - 3,Salzburg (Aut) *
FT,Jagiellonia (Pol),0 - 1,Bodo/Glimt (Nor)
FT,Slovan Bratislava (Svk),2 - 0,APOEL (Cyp)
FT,Slavia Prague (Cze),3 - 1,Royale Union SG (Bel)
FT,Salzburg (Aut),2 - 1,Twente (Ned)
FT,Lille (Fra),2 - 1,Fenerbahce (Tur)
FT,Dyn. Kyiv (Ukr),1 - 1,Rangers (Sco)
