title,description,link,posted_time,author
"Loạt ngân hàng tinh giản nhân sự, có bên cắt giảm 1.000 người","BIDV, VIB, Sacombank là 3 đơn vị cắt giảm nhân sự mạnh năm 2024. Tuy vậy, tổng nhân viên của 27 ngân hàng vẫn...",https://dantri.com.vn/kinh-doanh/loat-ngan-hang-tinh-gian-nhan-su-co-ben-cat-giam-1000-nguoi-20250212040553125.htm,"Thứ năm, 13/02/2025 - 15:42",Nhật Quang
"Ánh sáng cuộc đời phía sau ""bóng tối quá khứ""",Nguồn vốn vay theo Quyết định 22/QĐ-TTg đã mở cánh cửa làm lại cuộc đời cho nhiều người chấp hành xong án phạt tù....,https://dantri.com.vn/doi-song.htm,,
Loạt xe bán chạy tháng 1: VinFast VF 3 và VF 5 tiếp tục bỏ xa đối thủ,"Tháng đầu năm 2025, sức tiêu thụ của bộ đôi xe điện VinFast VF 3 và VF 5 tiếp tục áp đảo toàn bộ...",https://dantri.com.vn/doi-song/co-gai-tuyen-quang-xinh-dep-gay-sot-sau-hinh-anh-tinh-co-o-le-hoi-dau-xuan-20250213102531891.htm,"Thứ năm, 13/02/2025 - 11:14",Tuệ Minh và Phạm Hồng Hạnh
Vụ người đàn ông bị tố cưới 2 vợ: Luật sư nêu quan điểm,"Liên quan đến vụ người đàn ông bị tố cưới 2 vợ, luật sư cho rằng nếu người đàn ông chưa kết hôn, chỉ...",https://dantri.com.vn/an-sinh.htm,,
Tương lai của người trẻ,"Thế giới đang có thêm nhiều tỷ phú đô la, nhưng phần lớn dân số đã không trở nên giàu có hơn, thậm chí...",https://dantri.com.vn/an-sinh/anh-sang-cuoc-doi-phia-sau-bong-toi-qua-khu-20250204220430747.htm,,
"Bạn gái làm điều này khi ra mắt, mẹ tôi lập tức phản đối chuyện cưới xin","Khi bố tôi mừng tuổi, Trang đưa một tay ra nhận. Mặc dù em tươi tắn nói lời cảm ơn, tôi vẫn thấy mẹ...",https://dantri.com.vn/giai-tri.htm,,
"Valentine này đi đâu - ""Oanh tạc"" ngay 3 tọa độ hẹn hò ""chất lừ"" ở TPHCM","Valentine đang đến, bạn đã có kế hoạch gì cùng người thương chưa? Nếu còn phân vân, hãy thử những trải nghiệm đặc biệt...",https://dantri.com.vn/giai-tri/msb-tri-an-khach-hang-cao-cap-voi-dem-nhac-tam-thuc-tinh-hoa-20250213105303230.htm,"Thứ năm, 13/02/2025 - 14:00",Tiến Thịnh
"Bé gái ""mê hoặc"" 21 triệu người, chưa đi học mẫu giáo vì lý do không ngờ",Bé gái 4 tuổi ở vùng nông thôn Trung Quốc thu hút 21 triệu người theo dõi trực tuyến nhờ những khoảnh khắc đời...,https://dantri.com.vn/bat-dong-san/gia-nha-trong-ngo-ha-nhiet-nguoi-mua-than-van-tren-troi-20250213020326402.htm,"Thứ năm, 13/02/2025 - 07:52",Dương Tâm
Loạt xe bán chạy tháng 1: VinFast VF 3 và VF 5 tiếp tục bỏ xa đối thủ,"Tháng đầu năm 2025, sức tiêu thụ của bộ đôi xe điện VinFast VF 3 và VF 5 tiếp tục áp đảo toàn bộ...",https://dantri.com.vn/giai-tri/duong-mich-ngay-cang-xinh-dep-nhung-gay-tranh-cai-ve-dien-xuat-20250213122322278.htm,"Thứ năm, 13/02/2025 - 15:43",Mi Vân
Hàng loạt ca đuối nước thương tâm: 2 cháu bé rơi xuống hồ trước nhà tử vong,"Trong lúc chơi, bé gái 3 tuổi và bạn rơi xuống hồ trước nhà. Một bé khi vớt lên đã không qua khỏi,...",https://dantri.com.vn/the-gioi/nato-giai-ma-tin-hieu-tu-my-ve-ukraine-sau-cuoc-dien-dam-trump-putin-20250213145701623.htm,"Thứ năm, 13/02/2025 - 15:25",Minh Phương
Dương Mịch ngày càng xinh đẹp nhưng gây tranh cãi về diễn xuất,"Dương Mịch vừa lọt danh sách ""Nữ diễn viên gây thất vọng nhất của năm 2024"" theo bình chọn của trang web Douban. Ngôi...",https://dantri.com.vn/xa-hoi/chu-tich-phan-van-mai-can-co-nghien-cuu-ve-mo-hinh-chinh-quyen-hien-nay-20250213133442369.htm,"Thứ năm, 13/02/2025 - 13:47",Bạch Huy Thanh và Hoài Thu
