title,location,area,price,details,url
Propzy.net ® Quảng cáo nhà đất kiểu Mỹ đầu tiên tại Việt Nam,"Đinh Công Tráng, Phường Tân Định, Quận 1, Thành phố Hồ Chí Minh",100 m2,16 triệu,"1 Phòng ngủ, 1 Bếp, 2 Toilet, 2 Máy lạnh",https://propzy.net/nha-dat/thue-mat-bang-kinh-doanh-o-lai-duoc-hem-xe-hoi-dinh-cong-trang-quan-1-thue-01106/
BẤT ĐỘNG SẢN REVER,"Bùi Đình Túy, Phường 12, Quận Bình Thạnh, Thành phồ Hồ Chí Minh","145,5 m2",8.86 tỷ,"5 Phòng ngủ, 1 Phòng khách, 1 Bếp, 4 Toilet, 2 Lầu",https://propzy.net/nha-dat/ban-nha-1-lau-1-san-thuong-5-phong-hem-bui-dinh-tuy-binh-thanh-nb-03980/
"Nhà mặt tiền cho thuê 4 lầu đường Điện Biên Phủ, Quận 1","Điện Biên Phủ, Phường 21, Quận Bình Thạnh, Thành phố Hồ Chí Minh",126 m2,13.9 triệu,"2 Phòng ngủ, 1 Phòng khách, 1 Bếp, 2 Toilet, 2 Lầu",https://propzy.net/nha-dat/nha-thue-2-lau-2-phong-ngu-hem-xe-hoi-dien-bien-phu-binh-thanh-thue-00848/
"Cho thuê nhà 3.2m x 11m hẻm Nguyễn Thị Minh Khai, Quận 1","Lê Văn Sỹ, Phường 14, Quận 3, Thành phố Hồ Chí Minh",77 m2,16.86 triệu,"2 Phòng ngủ, 1 Phòng khách, 1 Bếp, 2 Toilet, 1 Máy lạnh",https://propzy.net/nha-dat/cho-thue-mat-bang-goc-2-phong-ngu-hem-xe-hoi-le-van-sy-phu-nhuan-thue-01103/
"[🏠ĐÃ BÁN] Bán nhà đẹp 1 lầu 4 phòng hẻm 6m Phan Văn Trị, Bình Thạnh","Nguyễn Tri Phương, Phường 9, Quận 10, Thành phố Hồ Chí Minh",96 m2,16.86 triệu,"2 Phòng ngủ, 1 Phòng khách, 1 Bếp, 2 Toilet, 1 Lầu",https://propzy.net/nha-dat/cho-thue-nha-4m-x-12m-1-lau-hem-nguyen-tri-phuong-quan-10-thue-01104/
"Nhà thuê 2 lầu 2 phòng ngủ hẻm xe hơi Điện Biên Phủ, Bình Thạnh","Trần Hữu Trang, Phường 11, Quận Phú Nhuận, Thành phố Hồ Chí Minh",18 m2,5 triệu,"1 Phòng ngủ, 1 Phòng khách, 1 Bếp, 1 Toilet, 1 Lầu, 1 Máy lạnh",https://propzy.net/nha-dat/thue-nha-mat-tien-gia-re-full-noi-that-duong-tran-huu-trang-phu-nhuan-thue-01042/
"Cho thuê nhà 4m x 12m, 1 lầu hẻm Nguyễn Tri Phương, Quận 10","Nguyễn Trung Ngạn, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh",30 m2,13 triệu,"1 Phòng ngủ, 1 Phòng khách, 1 Bếp, 1 Toilet, 1 Lầu, 1 Máy lạnh",https://propzy.net/nha-dat/cho-thue-nha-vi-tri-dep-30m2-hem-xe-hoi-nguyen-trung-ngan-quan-1-thue-00995/
"[🏠ĐÃ BÁN] Nhà siêu đẹp 1 lửng 1 lầu đúc hẻm xe hơi Khu Đường số, Gò Vấp","Khu Đường số, Phường 11, Quận Gò Vấp, Thành phố Hồ Chí Minh","86,1 m2",5.2 tỷ,"3 Phòng ngủ, 1 Phòng khách, 1 Bếp, 2 Toilet, 2 Lầu",https://propzy.net/nha-dat/nha-sieu-dep-1-lung-1-lau-duc-hem-xe-hoi-khu-duong-so-go-vap-nb-03890/
"Cho thuê nhà vị trí đẹp 30m2 hẻm xe hơi Nguyễn Trung Ngạn, Quận 1","Lê Văn Duyệt, Phường 3, Quận Bình Thạnh, Thành phố Hồ Chí Minh",42 m2,7 triệu,"1 Phòng ngủ, 1 Phòng khách, 1 Bếp, 2 Toilet, 1 Lầu, 1 Máy lạnh",https://propzy.net/nha-dat/cho-thue-nha-dep-gia-re-1-lau-hem-le-van-duyet-binh-thanh-thue-00820/
Propzy.net ® Quảng cáo nhà đất kiểu Mỹ đầu tiên tại Việt Nam,"Nhiêu Tứ, Phường 7, Quận Phú Nhuận, Thành phố Hồ Chí Minh","120,3 m2",7.85 tỷ,"4 Phòng ngủ, 1 Phòng khách, 1 Bếp, 3 Toilet, 3 Lầu",https://propzy.net/nha-dat/ban-nha-phu-nhuan-moi-dep-2-lau-1-san-thuong-hem-nhieu-tu-nb-03977/
