job_title,company_name,salary,location,url
"Chuyên viên Kế toán Thanh toán, Tại Hà Nội, Lương cơ bản 14Tr",CÔNG TY TNHH GIP GROUP,14 Tr - 16 Tr VND,H,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-ke-toan-thanh-toan-tai-ha-noi-luong-co-ban-14tr.35C33ED9.html
Nhân sự tổng hợp (mạnh C&B),HỌC VIỆN FOCUS LEARNING,10 Tr - 15 Tr VND, ,https://careerviet.vn/vi/tim-viec-lam/cvcc-phan-tich-kinh-doanh-quan-tri-du-lieu-thu-hoi-no.35C33ECB.html
Nhân viên/Chuyên viên THN hiện trường - Hà Nội,Ngân Hàng TMCP Việt Nam Thịnh Vượng - VPBANK,Cạnh tranh,H,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-xu-ly-no-to-tung-khcn-nam-dinh.35C33ECC.html
"Nhân viên/Chuyên viên THN hiện trường - Hà Nam, Nam Định, Hòa Bình, Ninh Bình",Ngân Hàng TMCP Việt Nam Thịnh Vượng - VPBANK,Cạnh tranh,",",https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-xu-ly-no-to-tung-mien-bac.35C33ECD.html
"Trưởng Bộ Phận THN hiện trường - Nợ muộn - Thanh Hóa, Nam Định",Ngân Hàng TMCP Việt Nam Thịnh Vượng - VPBANK,Cạnh tranh,ộ,https://careerviet.vn/vi/tim-viec-lam/cvcc-quan-ly-chat-luong-to-tung-ho-chi-minh.35C33ECF.html
Chuyên gia/ CVCC Lập kế hoạch (Kế hoạch & Chính sách THN),Ngân Hàng TMCP Việt Nam Thịnh Vượng - VPBANK,Cạnh tranh, ,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-xu-ly-no-to-tung-an-giang.35C33ED1.html
Chuyên viên xử lý nợ tố tụng KHCN Nam Định,Ngân Hàng TMCP Việt Nam Thịnh Vượng - VPBANK,Cạnh tranh,H,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-xu-ly-no-to-tung-ho-chi-minh-binh-duong-binh-phuoc.35C33ED2.html
CVCC Quản lý chất lượng tố tụng - Hồ Chí Minh,Ngân Hàng TMCP Việt Nam Thịnh Vượng - VPBANK,Cạnh tranh,",",https://careerviet.vn/vi/tim-viec-lam/nhan-vien-kinh-doanh-tai-ha-noi-luong-15tr-den-30tr.35C33ECE.html
"Chuyên Viên Xử Lý Nợ Tố Tụng - Hồ Chí Minh, Bình Dương, Bình Phước",Ngân Hàng TMCP Việt Nam Thịnh Vượng - VPBANK,Cạnh tranh,ộ,https://careerviet.vn/vi/tim-viec-lam/cvc-chien-luoc-thu-hoi-no-ho-chi-minh.35C33ED6.html
CVC Chiến lược thu hồi nợ - Hồ Chí Minh,Ngân Hàng TMCP Việt Nam Thịnh Vượng - VPBANK,Cạnh tranh, ,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-ke-toan-cong-no-tai-ha-noi-luong-co-ban-12tr.35C33ED4.html
