thoi_gian,doi_nha,ti_so,doi_khach
AET,PSV *,3 - 1,Juventus
FT,PSG *,7 - 0,Brest
FT,Real Madrid *,3 - 1,Manchester City
FT,Dortmund *,0 - 0,Sporting CP
FT,Benfica *,3 - 3,Monaco
FT,Bayern Munich *,1 - 1,Celtic
FT,Atalanta,1 - 3,Club Brugge KV *
FT,AC Milan,1 - 1,Feyenoord *
FT,Feyenoord,1 - 0,AC Milan
FT,Monaco,0 - 1,Benfica
FT,Celtic,1 - 2,Bayern Munich
FT,Club Brugge KV,2 - 1,Atalanta
FT,Sporting CP,0 - 3,Dortmund
FT,Manchester City,2 - 3,Real Madrid
FT,Juventus,2 - 1,PSV
FT,Brest,0 - 3,PSG
FT,Lille,6 - 1,Feyenoord
FT,Manchester City,3 - 1,Club Brugge KV
FT,Inter,3 - 0,Monaco
FT,Bayern Munich,3 - 1,Slovan Bratislava
FT,Sturm Graz,1 - 0,RB Leipzig
FT,Dortmund,3 - 1,Shakhtar Donetsk
FT,Barcelona,2 - 2,Atalanta
FT,Brest,0 - 3,Real Madrid
FT,PSV,3 - 2,Liverpool
FT,Stuttgart,1 - 4,PSG
FT,Bayer Leverkusen,2 - 0,Sparta Prague
FT,Girona,1 - 2,Arsenal
FT,D. Zagreb,2 - 1,AC Milan
FT,Juventus,0 - 2,Benfica
FT,Young Boys,0 - 1,Crvena zvezda
FT,Salzburg,1 - 4,Atl. Madrid
FT,Aston Villa,4 - 2,Celtic
FT,Sporting CP,1 - 1,Bologna
FT,Celtic,1 - 0,Young Boys
FT,Sparta Prague,0 - 1,Inter
FT,Feyenoord,3 - 0,Bayern Munich
FT,Real Madrid,5 - 1,Salzburg
FT,Arsenal,3 - 0,D. Zagreb
FT,AC Milan,1 - 0,Girona
FT,PSG,4 - 2,Manchester City
FT,Shakhtar Donetsk,2 - 0,Brest
FT,RB Leipzig,2 - 1,Sporting CP
FT,Benfica,4 - 5,Barcelona
FT,Bologna,2 - 1,Dortmund
FT,Liverpool,2 - 1,Lille
FT,Slovan Bratislava (Svk) *,3 - 2,Midtjylland (Den)
FT,Crvena zvezda (Srb) *,2 - 0,Bodo/Glimt (Nor)
FT,Slavia Prague (Cze),2 - 1,Lille (Fra) *
FT,Qarabag (Aze),0 - 2,D. Zagreb (Cro) *
FT,Galatasaray (Tur),0 - 1,Young Boys (Sui) *
FT,Salzburg (Aut) *,1 - 1,Dyn. Kyiv (Ukr)
FT,Sparta Prague (Cze) *,2 - 0,Malmo FF (Swe)
FT,Midtjylland (Den),1 - 1,Slovan Bratislava (Svk)
FT,Malmo FF (Swe),0 - 2,Sparta Prague (Cze)
FT,Dyn. Kyiv (Ukr),0 - 2,Salzburg (Aut)
FT,Young Boys (Sui),3 - 2,Galatasaray (Tur)
FT,Bodo/Glimt (Nor),2 - 1,Crvena zvezda (Srb)
FT,Lille (Fra),2 - 0,Slavia Prague (Cze)
FT,D. Zagreb (Cro),3 - 0,Qarabag (Aze)
FT,Rangers (Sco),0 - 2,Dyn. Kyiv (Ukr) *
FT,Royale Union SG (Bel),0 - 1,Slavia Prague (Cze) *
FT,FCSB (Rou),2 - 3,Sparta Prague (Cze) *
FT,Ferencvaros (Hun),1 - 1,Midtjylland (Den) *
AET,Ludogorets (Bul),2 - 7,Qarabag (Aze) *
AET,PAOK (Gre),3 - 4,Malmo FF (Swe) *
FT,APOEL (Cyp),0 - 0,Slovan Bratislava (Svk) *
FT,Twente (Ned),3 - 3,Salzburg (Aut) *
FT,Bodo/Glimt (Nor) *,4 - 1,Jagiellonia (Pol)
AET,Fenerbahce (Tur),1 - 1,Lille (Fra) *
FT,Jagiellonia (Pol),0 - 1,Bodo/Glimt (Nor)
FT,Slovan Bratislava (Svk),2 - 0,APOEL (Cyp)
FT,Slavia Prague (Cze),3 - 1,Royale Union SG (Bel)
FT,Salzburg (Aut),2 - 1,Twente (Ned)
FT,Lille (Fra),2 - 1,Fenerbahce (Tur)
FT,Dyn. Kyiv (Ukr),1 - 1,Rangers (Sco)
